Instance 1 | Big:
Plants:
1.- Max distribution: 1747
-Send cost:
      -Center 18: 953
      -Center 19: 494
      -Center 20: 502
      -Center 21: 149
      -Center 22: 446
      -Center 23: 246
      -Center 24: 438
      -Center 25: 178
      -Center 26: 232
      -Center 27: 287
      -Center 28: 917
      -Center 29: 985
      -Center 30: 560
      -Center 31: 958
      -Center 32: 678
      -Center 33: 898
4.- Max distribution: 1552
-Send cost:
      -Center 1: 321
      -Center 2: 545
      -Center 3: 226
      -Center 4: 109
      -Center 5: 750
      -Center 6: 160
      -Center 7: 351
      -Center 8: 534
      -Center 9: 666
      -Center 10: 202
      -Center 11: 358
      -Center 12: 837
      -Center 13: 416
      -Center 14: 315
      -Center 15: 894
      -Center 16: 185
      -Center 17: 386
      -Center 18: 834
      -Center 19: 131
      -Center 20: 753
      -Center 21: 720
      -Center 22: 933
      -Center 23: 762
      -Center 24: 679
      -Center 25: 419
      -Center 26: 710
      -Center 27: 335
      -Center 28: 480
      -Center 29: 797
      -Center 30: 537
      -Center 31: 732
      -Center 32: 336
      -Center 33: 733
5.- Max distribution: 1668
-Send cost:
      -Center 1: 896
      -Center 2: 441
      -Center 3: 209
      -Center 4: 615
      -Center 5: 976
      -Center 6: 363
      -Center 7: 493
      -Center 8: 187
      -Center 9: 233
      -Center 10: 240
      -Center 11: 929
      -Center 12: 334
      -Center 13: 119
      -Center 14: 740
      -Center 15: 932
      -Center 16: 108
      -Center 17: 582
      -Center 18: 476
      -Center 19: 791
      -Center 20: 735
      -Center 21: 791
      -Center 22: 798
      -Center 23: 880
      -Center 24: 677
      -Center 25: 914
      -Center 26: 254
      -Center 27: 201
      -Center 28: 909
      -Center 29: 191
      -Center 30: 407
      -Center 31: 483
      -Center 32: 675
      -Center 33: 445
6.- Max distribution: 1170
-Send cost:
      -Center 1: 813
      -Center 2: 335
      -Center 3: 766
      -Center 4: 723
      -Center 5: 483
      -Center 6: 658
      -Center 7: 711
      -Center 8: 267
      -Center 9: 953
      -Center 10: 279
      -Center 11: 652
      -Center 12: 834
      -Center 13: 574
      -Center 14: 382
      -Center 15: 715
      -Center 16: 550
      -Center 17: 560
      -Center 18: 305
      -Center 19: 514
      -Center 20: 701
      -Center 21: 372
      -Center 22: 348
      -Center 23: 803
      -Center 24: 191
      -Center 25: 406
      -Center 26: 306
      -Center 27: 329
      -Center 28: 533
      -Center 29: 414
      -Center 30: 956
      -Center 31: 905
      -Center 32: 284
      -Center 33: 783
7.- Max distribution: 1363
-Send cost:
      -Center 1: 187
      -Center 2: 1000
      -Center 3: 636
      -Center 4: 560
      -Center 5: 354
      -Center 6: 666
      -Center 7: 428
      -Center 8: 729
      -Center 9: 127
      -Center 10: 940
      -Center 11: 543
      -Center 12: 271
      -Center 13: 268
      -Center 14: 130
      -Center 15: 862
      -Center 16: 206
      -Center 17: 930
      -Center 18: 693
      -Center 19: 615
      -Center 20: 316
      -Center 21: 486
      -Center 22: 939
      -Center 23: 736
      -Center 24: 817
      -Center 25: 997
      -Center 26: 728
      -Center 27: 356
      -Center 28: 472
      -Center 29: 817
      -Center 30: 901
      -Center 31: 677
      -Center 32: 762
      -Center 33: 666
8.- Max distribution: 975
-Send cost:
      -Center 1: 881
      -Center 2: 151
      -Center 3: 435
      -Center 4: 755
      -Center 5: 815
      -Center 6: 792
      -Center 7: 908
      -Center 8: 336
      -Center 9: 499
      -Center 10: 685
      -Center 11: 276
      -Center 12: 204
      -Center 13: 431
      -Center 14: 391
      -Center 15: 146
      -Center 16: 565
      -Center 17: 451
      -Center 18: 164
      -Center 19: 986
      -Center 20: 160
      -Center 21: 485
      -Center 22: 477
      -Center 23: 787
      -Center 24: 213
      -Center 25: 850
      -Center 26: 754
      -Center 27: 697
      -Center 28: 808
      -Center 29: 877
      -Center 30: 726
      -Center 31: 470
      -Center 32: 867
      -Center 33: 329
9.- Max distribution: 1204
-Send cost:
      -Center 1: 800
      -Center 2: 686
      -Center 3: 666
      -Center 4: 856
      -Center 5: 473
      -Center 6: 746
      -Center 7: 913
      -Center 8: 614
      -Center 9: 547
      -Center 10: 382
      -Center 11: 752
      -Center 12: 301
      -Center 13: 129
      -Center 14: 913
      -Center 15: 802
      -Center 16: 725
      -Center 17: 193
      -Center 18: 932
      -Center 19: 538
      -Center 20: 831
      -Center 21: 488
      -Center 22: 129
      -Center 23: 258
      -Center 24: 740
      -Center 25: 291
      -Center 26: 569
      -Center 27: 924
      -Center 28: 132
      -Center 29: 104
      -Center 30: 988
      -Center 31: 870
      -Center 32: 454
      -Center 33: 722
10.- Max distribution: 1700
-Send cost:
      -Center 1: 720
      -Center 2: 285
      -Center 3: 253
      -Center 4: 731
      -Center 5: 117
      -Center 6: 352
      -Center 7: 887
      -Center 8: 228
      -Center 9: 365
      -Center 10: 616
      -Center 11: 407
      -Center 12: 492
      -Center 13: 699
      -Center 14: 305
      -Center 15: 317
      -Center 16: 487
      -Center 17: 906
      -Center 18: 587
      -Center 19: 230
      -Center 20: 368
      -Center 21: 225
      -Center 22: 133
      -Center 23: 148
      -Center 24: 902
      -Center 25: 880
      -Center 26: 668
      -Center 27: 675
      -Center 28: 303
      -Center 29: 448
      -Center 30: 305
      -Center 31: 801
      -Center 32: 114
      -Center 33: 459
11.- Max distribution: 1012
-Send cost:
      -Center 1: 428
      -Center 2: 192
      -Center 3: 445
      -Center 4: 737
      -Center 5: 541
      -Center 6: 327
      -Center 7: 996
      -Center 8: 390
      -Center 9: 368
      -Center 10: 226
      -Center 11: 660
      -Center 12: 110
      -Center 13: 469
      -Center 14: 217
      -Center 15: 895
      -Center 16: 920
      -Center 17: 701
      -Center 18: 921
      -Center 19: 269
      -Center 20: 719
      -Center 21: 580
      -Center 22: 829
      -Center 23: 584
      -Center 24: 979
      -Center 25: 464
      -Center 26: 198
      -Center 27: 508
      -Center 28: 930
      -Center 29: 696
      -Center 30: 457
      -Center 31: 966
      -Center 32: 287
      -Center 33: 543
12.- Max distribution: 1150
-Send cost:
      -Center 1: 762
      -Center 2: 404
      -Center 3: 273
      -Center 4: 517
      -Center 5: 672
      -Center 6: 499
      -Center 7: 734
      -Center 8: 966
      -Center 9: 234
      -Center 10: 677
      -Center 11: 909
      -Center 12: 346
      -Center 13: 517
      -Center 14: 252
      -Center 15: 243
      -Center 16: 906
      -Center 17: 798
      -Center 18: 901
      -Center 19: 643
      -Center 20: 185
      -Center 21: 230
      -Center 22: 254
      -Center 23: 839
      -Center 24: 906
      -Center 25: 357
      -Center 26: 593
      -Center 27: 580
      -Center 28: 564
      -Center 29: 241
      -Center 30: 384
      -Center 31: 209
      -Center 32: 860
      -Center 33: 846
13.- Max distribution: 1766
-Send cost:
      -Center 1: 110
      -Center 2: 453
      -Center 3: 720
      -Center 4: 376
      -Center 5: 321
      -Center 6: 530
      -Center 7: 448
      -Center 8: 378
      -Center 9: 137
      -Center 10: 139
      -Center 11: 220
      -Center 12: 778
      -Center 13: 309
      -Center 14: 454
      -Center 15: 587
      -Center 16: 694
      -Center 17: 116
      -Center 18: 365
      -Center 19: 401
      -Center 20: 729
      -Center 21: 453
      -Center 22: 103
      -Center 23: 326
      -Center 24: 189
      -Center 25: 790
      -Center 26: 430
      -Center 27: 212
      -Center 28: 490
      -Center 29: 903
      -Center 30: 942
      -Center 31: 834
      -Center 32: 727
      -Center 33: 177
14.- Max distribution: 986
-Send cost:
      -Center 1: 629
      -Center 2: 101
      -Center 3: 653
      -Center 4: 532
      -Center 5: 452
      -Center 6: 218
      -Center 7: 496
      -Center 8: 241
      -Center 9: 514
      -Center 10: 172
      -Center 11: 215
      -Center 12: 410
      -Center 13: 327
      -Center 14: 727
      -Center 15: 706
      -Center 16: 880
      -Center 17: 988
      -Center 18: 655
      -Center 19: 255
      -Center 20: 575
      -Center 21: 490
      -Center 22: 670
      -Center 23: 927
      -Center 24: 713
      -Center 25: 216
      -Center 26: 319
      -Center 27: 858
      -Center 28: 103
      -Center 29: 352
      -Center 30: 595
      -Center 31: 941
      -Center 32: 266
      -Center 33: 654
15.- Max distribution: 1074
-Send cost:
      -Center 1: 557
      -Center 2: 508
      -Center 3: 642
      -Center 4: 498
      -Center 5: 201
      -Center 6: 351
      -Center 7: 712
      -Center 8: 359
      -Center 9: 781
      -Center 10: 580
      -Center 11: 478
      -Center 12: 336
      -Center 13: 513
      -Center 14: 681
      -Center 15: 355
      -Center 16: 850
      -Center 17: 784
      -Center 18: 127
      -Center 19: 366
      -Center 20: 634
      -Center 21: 811
      -Center 22: 879
      -Center 23: 592
      -Center 24: 906
      -Center 25: 276
      -Center 26: 475
      -Center 27: 965
      -Center 28: 700
      -Center 29: 332
      -Center 30: 213
      -Center 31: 579
      -Center 32: 447
      -Center 33: 849
16.- Max distribution: 1765
-Send cost:
      -Center 1: 855
      -Center 2: 585
      -Center 3: 882
      -Center 4: 459
      -Center 5: 898
      -Center 6: 173
      -Center 7: 614
      -Center 8: 618
      -Center 9: 133
      -Center 10: 690
      -Center 11: 936
      -Center 12: 577
      -Center 13: 313
      -Center 14: 320
      -Center 15: 926
      -Center 16: 632
      -Center 17: 799
      -Center 18: 255
      -Center 19: 558
      -Center 20: 796
      -Center 21: 782
      -Center 22: 502
      -Center 23: 523
      -Center 24: 107
      -Center 25: 963
      -Center 26: 248
      -Center 27: 878
      -Center 28: 300
      -Center 29: 948
      -Center 30: 283
      -Center 31: 755
      -Center 32: 929
      -Center 33: 574
17.- Max distribution: 1134
-Send cost:
      -Center 1: 323
      -Center 2: 147
      -Center 3: 578
      -Center 4: 897
      -Center 5: 670
      -Center 6: 655
      -Center 7: 378
      -Center 8: 333
      -Center 9: 973
      -Center 10: 179
      -Center 11: 962
      -Center 12: 436
      -Center 13: 621
      -Center 14: 794
      -Center 15: 197
      -Center 16: 976
      -Center 17: 667
      -Center 18: 210
      -Center 19: 570
      -Center 20: 676
      -Center 21: 538
      -Center 22: 718
      -Center 23: 898
      -Center 24: 430
      -Center 25: 966
      -Center 26: 182
      -Center 27: 536
      -Center 28: 571
      -Center 29: 222
      -Center 30: 310
      -Center 31: 966
      -Center 32: 219
      -Center 33: 330
18.- Max distribution: 1787
-Send cost:
      -Center 1: 929
      -Center 2: 603
      -Center 3: 383
      -Center 4: 523
      -Center 5: 821
      -Center 6: 582
      -Center 7: 148
      -Center 8: 381
      -Center 9: 786
      -Center 10: 550
      -Center 11: 790
      -Center 12: 363
      -Center 13: 631
      -Center 14: 555
      -Center 15: 995
      -Center 16: 364
      -Center 17: 331
      -Center 18: 346
      -Center 19: 627
      -Center 20: 226
      -Center 21: 340
      -Center 22: 473
      -Center 23: 911
      -Center 24: 455
      -Center 25: 731
      -Center 26: 251
      -Center 27: 349
      -Center 28: 189
      -Center 29: 209
      -Center 30: 838
      -Center 31: 929
      -Center 32: 171
      -Center 33: 895
19.- Max distribution: 1235
-Send cost:
      -Center 1: 511
      -Center 2: 120
      -Center 3: 973
      -Center 4: 212
      -Center 5: 633
      -Center 6: 522
      -Center 7: 152
      -Center 8: 318
      -Center 9: 337
      -Center 10: 565
      -Center 11: 524
      -Center 12: 165
      -Center 13: 505
      -Center 14: 622
      -Center 15: 511
      -Center 16: 168
      -Center 17: 564
      -Center 18: 405
      -Center 19: 309
      -Center 20: 744
      -Center 21: 530
      -Center 22: 732
      -Center 23: 438
      -Center 24: 269
      -Center 25: 717
      -Center 26: 273
      -Center 27: 707
      -Center 28: 552
      -Center 29: 255
      -Center 30: 244
      -Center 31: 342
      -Center 32: 555
      -Center 33: 178
20.- Max distribution: 1698
-Send cost:
      -Center 1: 548
      -Center 2: 722
      -Center 3: 861
      -Center 4: 955
      -Center 5: 380
      -Center 6: 107
      -Center 7: 504
      -Center 8: 116
      -Center 9: 924
      -Center 10: 660
      -Center 11: 524
      -Center 12: 313
      -Center 13: 239
      -Center 14: 739
      -Center 15: 791
      -Center 16: 163
      -Center 17: 337
      -Center 18: 961
      -Center 19: 373
      -Center 20: 858
      -Center 21: 968
      -Center 22: 938
      -Center 23: 639
      -Center 24: 574
      -Center 25: 636
      -Center 26: 484
      -Center 27: 476
      -Center 28: 852
      -Center 29: 407
      -Center 30: 851
      -Center 31: 446
      -Center 32: 945
      -Center 33: 835
21.- Max distribution: 967
-Send cost:
      -Center 1: 556
      -Center 2: 388
      -Center 3: 177
      -Center 4: 423
      -Center 5: 865
      -Center 6: 582
      -Center 7: 534
      -Center 8: 711
      -Center 9: 558
      -Center 10: 533
      -Center 11: 315
      -Center 12: 222
      -Center 13: 125
      -Center 14: 657
      -Center 15: 534
      -Center 16: 791
      -Center 17: 941
      -Center 18: 989
      -Center 19: 160
      -Center 20: 425
      -Center 21: 934
      -Center 22: 383
      -Center 23: 881
      -Center 24: 512
      -Center 25: 588
      -Center 26: 744
      -Center 27: 874
      -Center 28: 302
      -Center 29: 871
      -Center 30: 694
      -Center 31: 194
      -Center 32: 681
      -Center 33: 888
22.- Max distribution: 1443
-Send cost:
      -Center 1: 275
      -Center 2: 478
      -Center 3: 940
      -Center 4: 741
      -Center 5: 183
      -Center 6: 411
      -Center 7: 181
      -Center 8: 174
      -Center 9: 287
      -Center 10: 102
      -Center 11: 491
      -Center 12: 895
      -Center 13: 392
      -Center 14: 631
      -Center 15: 458
      -Center 16: 104
      -Center 17: 944
      -Center 18: 514
      -Center 19: 269
      -Center 20: 122
      -Center 21: 247
      -Center 22: 466
      -Center 23: 942
      -Center 24: 593
      -Center 25: 453
      -Center 26: 546
      -Center 27: 244
      -Center 28: 777
      -Center 29: 482
      -Center 30: 184
      -Center 31: 939
      -Center 32: 619
      -Center 33: 547
23.- Max distribution: 1326
-Send cost:
      -Center 1: 434
      -Center 2: 966
      -Center 3: 863
      -Center 4: 548
      -Center 5: 460
      -Center 6: 694
      -Center 7: 517
      -Center 8: 267
      -Center 9: 795
      -Center 10: 920
      -Center 11: 689
      -Center 12: 897
      -Center 13: 879
      -Center 14: 482
      -Center 15: 246
      -Center 16: 637
      -Center 17: 698
      -Center 18: 913
      -Center 19: 943
      -Center 20: 510
      -Center 21: 152
      -Center 22: 183
      -Center 23: 907
      -Center 24: 764
      -Center 25: 238
      -Center 26: 777
      -Center 27: 884
      -Center 28: 120
      -Center 29: 828
      -Center 30: 128
      -Center 31: 742
      -Center 32: 986
      -Center 33: 470
24.- Max distribution: 1018
-Send cost:
      -Center 1: 873
      -Center 2: 316
      -Center 3: 505
      -Center 4: 948
      -Center 5: 169
      -Center 6: 370
      -Center 7: 831
      -Center 8: 629
      -Center 9: 137
      -Center 10: 820
      -Center 11: 774
      -Center 12: 244
      -Center 13: 692
      -Center 14: 962
      -Center 15: 793
      -Center 16: 211
      -Center 17: 276
      -Center 18: 429
      -Center 19: 965
      -Center 20: 804
      -Center 21: 818
      -Center 22: 731
      -Center 23: 923
      -Center 24: 344
      -Center 25: 645
      -Center 26: 800
      -Center 27: 678
      -Center 28: 430
      -Center 29: 236
      -Center 30: 654
      -Center 31: 803
      -Center 32: 577
      -Center 33: 962
25.- Max distribution: 1428
-Send cost:
      -Center 1: 108
      -Center 2: 930
      -Center 3: 345
      -Center 4: 850
      -Center 5: 830
      -Center 6: 111
      -Center 7: 606
      -Center 8: 849
      -Center 9: 953
      -Center 10: 383
      -Center 11: 687
      -Center 12: 612
      -Center 13: 733
      -Center 14: 950
      -Center 15: 671
      -Center 16: 141
      -Center 17: 348
      -Center 18: 202
      -Center 19: 686
      -Center 20: 824
      -Center 21: 743
      -Center 22: 347
      -Center 23: 725
      -Center 24: 278
      -Center 25: 820
      -Center 26: 287
      -Center 27: 624
      -Center 28: 216
      -Center 29: 407
      -Center 30: 130
      -Center 31: 566
      -Center 32: 911
      -Center 33: 517
26.- Max distribution: 1506
-Send cost:
      -Center 1: 704
      -Center 2: 583
      -Center 3: 922
      -Center 4: 911
      -Center 5: 825
      -Center 6: 779
      -Center 7: 612
      -Center 8: 894
      -Center 9: 403
      -Center 10: 492
      -Center 11: 826
      -Center 12: 440
      -Center 13: 716
      -Center 14: 505
      -Center 15: 889
      -Center 16: 227
      -Center 17: 871
      -Center 18: 737
      -Center 19: 606
      -Center 20: 123
      -Center 21: 232
      -Center 22: 901
      -Center 23: 853
      -Center 24: 937
      -Center 25: 389
      -Center 26: 248
      -Center 27: 462
      -Center 28: 956
      -Center 29: 989
      -Center 30: 961
      -Center 31: 653
      -Center 32: 903
      -Center 33: 466
27.- Max distribution: 1419
-Send cost:
      -Center 1: 843
      -Center 2: 529
      -Center 3: 752
      -Center 4: 119
      -Center 5: 514
      -Center 6: 810
      -Center 7: 385
      -Center 8: 253
      -Center 9: 351
      -Center 10: 869
      -Center 11: 462
      -Center 12: 971
      -Center 13: 610
      -Center 14: 178
      -Center 15: 345
      -Center 16: 314
      -Center 17: 888
      -Center 18: 137
      -Center 19: 830
      -Center 20: 967
      -Center 21: 540
      -Center 22: 183
      -Center 23: 645
      -Center 24: 608
      -Center 25: 147
      -Center 26: 771
      -Center 27: 1000
      -Center 28: 474
      -Center 29: 118
      -Center 30: 121
      -Center 31: 117
      -Center 32: 887
      -Center 33: 963
28.- Max distribution: 984
-Send cost:
      -Center 1: 773
      -Center 2: 617
      -Center 3: 618
      -Center 4: 809
      -Center 5: 812
      -Center 6: 400
      -Center 7: 157
      -Center 8: 763
      -Center 9: 464
      -Center 10: 865
      -Center 11: 647
      -Center 12: 620
      -Center 13: 471
      -Center 14: 129
      -Center 15: 805
      -Center 16: 676
      -Center 17: 759
      -Center 18: 506
      -Center 19: 368
      -Center 20: 298
      -Center 21: 691
      -Center 22: 293
      -Center 23: 184
      -Center 24: 720
      -Center 25: 150
      -Center 26: 925
      -Center 27: 805
      -Center 28: 622
      -Center 29: 328
      -Center 30: 545
      -Center 31: 444
      -Center 32: 665
      -Center 33: 274
29.- Max distribution: 1453
-Send cost:
      -Center 1: 315
      -Center 2: 407
      -Center 3: 488
      -Center 4: 772
      -Center 5: 829
      -Center 6: 947
      -Center 7: 594
      -Center 8: 340
      -Center 9: 493
      -Center 10: 274
      -Center 11: 840
      -Center 12: 850
      -Center 13: 901
      -Center 14: 937
      -Center 15: 470
      -Center 16: 723
      -Center 17: 158
      -Center 18: 904
      -Center 19: 422
      -Center 20: 846
      -Center 21: 298
      -Center 22: 971
      -Center 23: 903
      -Center 24: 501
      -Center 25: 828
      -Center 26: 246
      -Center 27: 372
      -Center 28: 447
      -Center 29: 889
      -Center 30: 723
      -Center 31: 263
      -Center 32: 686
      -Center 33: 951
30.- Max distribution: 1681
-Send cost:
      -Center 1: 546
      -Center 2: 581
      -Center 3: 660
      -Center 4: 525
      -Center 5: 725
      -Center 6: 979
      -Center 7: 991
      -Center 8: 340
      -Center 9: 692
      -Center 10: 247
      -Center 11: 570
      -Center 12: 467
      -Center 13: 970
      -Center 14: 200
      -Center 15: 185
      -Center 16: 856
      -Center 17: 260
      -Center 18: 118
      -Center 19: 702
      -Center 20: 303
      -Center 21: 720
      -Center 22: 508
      -Center 23: 826
      -Center 24: 456
      -Center 25: 600
      -Center 26: 469
      -Center 27: 580
      -Center 28: 887
      -Center 29: 995
      -Center 30: 188
      -Center 31: 658
      -Center 32: 592
      -Center 33: 978
31.- Max distribution: 1361
-Send cost:
      -Center 1: 736
      -Center 2: 319
      -Center 3: 567
      -Center 4: 686
      -Center 5: 719
      -Center 6: 107
      -Center 7: 867
      -Center 8: 865
      -Center 9: 246
      -Center 10: 474
      -Center 11: 298
      -Center 12: 570
      -Center 13: 669
      -Center 14: 276
      -Center 15: 227
      -Center 16: 202
      -Center 17: 591
      -Center 18: 101
      -Center 19: 177
      -Center 20: 397
      -Center 21: 1000
      -Center 22: 870
      -Center 23: 910
      -Center 24: 205
      -Center 25: 592
      -Center 26: 951
      -Center 27: 508
      -Center 28: 967
      -Center 29: 471
      -Center 30: 342
      -Center 31: 613
      -Center 32: 533
      -Center 33: 344
32.- Max distribution: 1476
-Send cost:
      -Center 1: 874
      -Center 2: 138
      -Center 3: 167
      -Center 4: 789
      -Center 5: 326
      -Center 6: 497
      -Center 7: 979
      -Center 8: 957
      -Center 9: 920
      -Center 10: 103
      -Center 11: 746
      -Center 12: 287
      -Center 13: 944
      -Center 14: 850
      -Center 15: 105
      -Center 16: 760
      -Center 17: 351
      -Center 18: 870
      -Center 19: 741
      -Center 20: 304
      -Center 21: 141
      -Center 22: 332
      -Center 23: 886
      -Center 24: 336
      -Center 25: 220
      -Center 26: 719
      -Center 27: 730
      -Center 28: 231
      -Center 29: 692
      -Center 30: 290
      -Center 31: 202
      -Center 32: 251
      -Center 33: 394
33.- Max distribution: 1793
-Send cost:
      -Center 1: 126
      -Center 2: 792
      -Center 3: 494
      -Center 4: 346
      -Center 5: 411
      -Center 6: 728
      -Center 7: 832
      -Center 8: 233
      -Center 9: 525
      -Center 10: 637
      -Center 11: 653
      -Center 12: 337
      -Center 13: 316
      -Center 14: 134
      -Center 15: 141
      -Center 16: 452
      -Center 17: 395
      -Center 18: 628
      -Center 19: 884
      -Center 20: 335
      -Center 21: 708
      -Center 22: 610
      -Center 23: 924
      -Center 24: 737
      -Center 25: 313
      -Center 26: 115
      -Center 27: 861
      -Center 28: 873
      -Center 29: 686
      -Center 30: 482
      -Center 31: 603
      -Center 32: 637
      -Center 33: 687
34.- Max distribution: 1539
-Send cost:
      -Center 1: 208
      -Center 2: 871
      -Center 3: 635
      -Center 4: 271
      -Center 5: 346
      -Center 6: 145
      -Center 7: 782
      -Center 8: 115
      -Center 9: 294
      -Center 10: 434
      -Center 11: 441
      -Center 12: 477
      -Center 13: 874
      -Center 14: 975
      -Center 15: 718
      -Center 16: 575
      -Center 17: 883
      -Center 18: 220
      -Center 19: 421
      -Center 20: 207
      -Center 21: 970
      -Center 22: 161
      -Center 23: 311
      -Center 24: 444
      -Center 25: 740
      -Center 26: 526
      -Center 27: 874
      -Center 28: 963
      -Center 29: 226
      -Center 30: 538
      -Center 31: 511
      -Center 32: 771
      -Center 33: 770
35.- Max distribution: 1590
-Send cost:
      -Center 1: 514
      -Center 2: 388
      -Center 3: 348
      -Center 4: 753
      -Center 5: 217
      -Center 6: 728
      -Center 7: 381
      -Center 8: 813
      -Center 9: 611
      -Center 10: 439
      -Center 11: 827
      -Center 12: 234
      -Center 13: 101
      -Center 14: 845
      -Center 15: 492
      -Center 16: 840
      -Center 17: 324
      -Center 18: 538
      -Center 19: 896
      -Center 20: 838
      -Center 21: 333
      -Center 22: 849
      -Center 23: 987
      -Center 24: 203
      -Center 25: 330
      -Center 26: 196
      -Center 27: 469
      -Center 28: 423
      -Center 29: 203
      -Center 30: 397
      -Center 31: 761
      -Center 32: 587
      -Center 33: 340
Centers:
1.- Max manage: 669 | Operation cost: 730
-Send cost:
      -Zone 1: 741
      -Zone 2: 213
      -Zone 3: 604
      -Zone 4: 660
      -Zone 5: 154
      -Zone 6: 512
      -Zone 7: 294
      -Zone 8: 364
      -Zone 9: 609
      -Zone 10: 356
      -Zone 11: 761
      -Zone 12: 341
      -Zone 13: 647
      -Zone 14: 487
      -Zone 15: 237
      -Zone 16: 355
      -Zone 17: 637
      -Zone 18: 384
      -Zone 19: 301
      -Zone 20: 757
      -Zone 21: 377
      -Zone 22: 794
      -Zone 23: 725
      -Zone 24: 829
      -Zone 25: 725
      -Zone 26: 983
      -Zone 27: 370
      -Zone 28: 752
      -Zone 29: 669
      -Zone 30: 423
      -Zone 31: 534
      -Zone 32: 896
      -Zone 33: 343
      -Zone 34: 315
      -Zone 35: 339
      -Zone 36: 776
      -Zone 37: 940
      -Zone 38: 427
      -Zone 39: 452
      -Zone 40: 106
      -Zone 41: 591
      -Zone 42: 155
      -Zone 43: 894
      -Zone 44: 437
      -Zone 45: 927
2.- Max manage: 670 | Operation cost: 614
-Send cost:
      -Zone 1: 373
      -Zone 2: 247
      -Zone 3: 187
      -Zone 4: 309
      -Zone 5: 705
      -Zone 6: 320
      -Zone 7: 367
      -Zone 8: 696
      -Zone 9: 828
      -Zone 10: 268
      -Zone 11: 935
      -Zone 12: 103
      -Zone 13: 890
      -Zone 14: 278
      -Zone 15: 768
      -Zone 16: 401
      -Zone 17: 240
      -Zone 18: 502
      -Zone 19: 953
      -Zone 20: 945
      -Zone 21: 221
      -Zone 22: 761
      -Zone 23: 201
      -Zone 24: 568
      -Zone 25: 881
      -Zone 26: 572
      -Zone 27: 228
      -Zone 28: 949
      -Zone 29: 637
      -Zone 30: 834
      -Zone 31: 506
      -Zone 32: 946
      -Zone 33: 216
      -Zone 34: 903
      -Zone 35: 320
      -Zone 36: 968
      -Zone 37: 263
      -Zone 38: 878
      -Zone 39: 472
      -Zone 40: 473
      -Zone 41: 240
      -Zone 42: 552
      -Zone 43: 239
      -Zone 44: 143
      -Zone 45: 977
3.- Max manage: 703 | Operation cost: 689
-Send cost:
      -Zone 1: 712
      -Zone 2: 438
      -Zone 3: 830
      -Zone 4: 747
      -Zone 5: 492
      -Zone 6: 694
      -Zone 7: 555
      -Zone 8: 858
      -Zone 9: 289
      -Zone 10: 523
      -Zone 11: 910
      -Zone 12: 971
      -Zone 13: 992
      -Zone 14: 191
      -Zone 15: 279
      -Zone 16: 720
      -Zone 17: 928
      -Zone 18: 881
      -Zone 19: 370
      -Zone 20: 403
      -Zone 21: 817
      -Zone 22: 403
      -Zone 23: 314
      -Zone 24: 281
      -Zone 25: 949
      -Zone 26: 251
      -Zone 27: 371
      -Zone 28: 961
      -Zone 29: 270
      -Zone 30: 868
      -Zone 31: 591
      -Zone 32: 546
      -Zone 33: 209
      -Zone 34: 930
      -Zone 35: 501
      -Zone 36: 375
      -Zone 37: 613
      -Zone 38: 620
      -Zone 39: 709
      -Zone 40: 235
      -Zone 41: 365
      -Zone 42: 578
      -Zone 43: 625
      -Zone 44: 134
      -Zone 45: 102
4.- Max manage: 272 | Operation cost: 1472
-Send cost:
      -Zone 1: 135
      -Zone 2: 128
      -Zone 3: 367
      -Zone 4: 785
      -Zone 5: 584
      -Zone 6: 363
      -Zone 7: 214
      -Zone 8: 790
      -Zone 9: 503
      -Zone 10: 861
      -Zone 11: 381
      -Zone 12: 131
      -Zone 13: 471
      -Zone 14: 688
      -Zone 15: 526
      -Zone 16: 744
      -Zone 17: 705
      -Zone 18: 710
      -Zone 19: 754
      -Zone 20: 764
      -Zone 21: 629
      -Zone 22: 725
      -Zone 23: 943
      -Zone 24: 841
      -Zone 25: 670
      -Zone 26: 119
      -Zone 27: 588
      -Zone 28: 165
      -Zone 29: 296
      -Zone 30: 827
      -Zone 31: 413
      -Zone 32: 286
      -Zone 33: 118
      -Zone 34: 630
      -Zone 35: 387
      -Zone 36: 196
      -Zone 37: 813
      -Zone 38: 311
      -Zone 39: 149
      -Zone 40: 158
      -Zone 41: 315
      -Zone 42: 284
      -Zone 43: 788
      -Zone 44: 277
      -Zone 45: 584
5.- Max manage: 298 | Operation cost: 1087
-Send cost:
      -Zone 1: 762
      -Zone 2: 239
      -Zone 3: 661
      -Zone 4: 981
      -Zone 5: 980
      -Zone 6: 765
      -Zone 7: 926
      -Zone 8: 399
      -Zone 9: 651
      -Zone 10: 573
      -Zone 11: 802
      -Zone 12: 853
      -Zone 13: 282
      -Zone 14: 214
      -Zone 15: 639
      -Zone 16: 121
      -Zone 17: 701
      -Zone 18: 408
      -Zone 19: 979
      -Zone 20: 863
      -Zone 21: 910
      -Zone 22: 458
      -Zone 23: 452
      -Zone 24: 320
      -Zone 25: 340
      -Zone 26: 897
      -Zone 27: 308
      -Zone 28: 653
      -Zone 29: 898
      -Zone 30: 864
      -Zone 31: 903
      -Zone 32: 423
      -Zone 33: 342
      -Zone 34: 289
      -Zone 35: 237
      -Zone 36: 896
      -Zone 37: 119
      -Zone 38: 299
      -Zone 39: 840
      -Zone 40: 921
      -Zone 41: 208
      -Zone 42: 868
      -Zone 43: 557
